name,type,uf
Bela Vista de Goiás,municipio,GO
Bela Vista de Minas,municipio,MG
Bela Vista do Maranhão,municipio,MA
Bela Vista do Paraíso,municipio,PR
Bela Vista do Piauí,municipio,PI
Bela Vista do Toldo,municipio,SC
Belágua,municipio,MA
Belém,municipio,PA
Belém,municipio,PB
Belém,municipio,AL
Belém de Maria,municipio,PE
Belém do Brejo do Cruz,municipio,PB
Belém do Piauí,municipio,PI
Belém do São Francisco,municipio,PE
Belford Roxo,municipio,RJ
Belmiro Braga,municipio,MG
Belmonte,municipio,BA
Belmonte,municipio,SC
Belo Campo,municipio,BA
Belo Horizonte,municipio,MG
Belo Jardim,municipio,PE
Belo Monte,municipio,AL
Belo Oriente,municipio,MG
Belo Vale,municipio,MG
Belterra,municipio,PA
Beneditinos,municipio,PI
Benedito Leite,municipio,MA
Benedito Novo,municipio,SC
Benevides,municipio,PA
Benjamin Constant,municipio,AM
Benjamin Constant do Sul,municipio,RS
Bento de Abreu,municipio,SP
Bento Fernandes,municipio,RN
Bento Gonçalves,municipio,RS
Bequimão,municipio,MA
Berilo,municipio,MG
Berizal,municipio,MG
Bernardino Batista,municipio,PB
Bernardino de Campos,municipio,SP
Bernardo do Mearim,municipio,MA
Bernardo Sayão,municipio,TO
Bertioga,municipio,SP
Bertolínia,municipio,PI
Bertópolis,municipio,MG
Beruri,municipio,AM
Betânia,municipio,PE
Betânia do Piauí,municipio,PI
Betim,municipio,MG
Bezerros,municipio,PE
Bias Fortes,municipio,MG
Bicas,municipio,MG
Biguaçu,municipio,SC
Bilac,municipio,SP
Biquinhas,municipio,MG
Birigui,municipio,SP
Biritiba-Mirim,municipio,SP
Biritinga,municipio,BA
Bituruna,municipio,PR
Blumenau,municipio,SC
Boa Esperança,municipio,MG
Boa Esperança,municipio,ES
Boa Esperança,municipio,PR
Boa Esperança do Norte,municipio,MT
Boa Esperança do Iguaçu,municipio,PR
Boa Esperança do Sul,municipio,SP
Boa Hora,municipio,PI
Boa Nova,municipio,BA
Boa Ventura,municipio,PB
Boa Ventura de São Roque,municipio,PR
Boa Viagem,municipio,CE
Boa Vista,municipio,RR
Boa Vista,municipio,PB
Boa Vista da Aparecida,municipio,PR
Boa Vista das Missões,municipio,RS
Boa Vista do Buricá,municipio,RS
Boa Vista do Cadeado,municipio,RS
Boa Vista do Gurupi,municipio,MA
Boa Vista do Incra,municipio,RS
Boa Vista do Ramos,municipio,AM
Boa Vista do Sul,municipio,RS
Boa Vista do Tupim,municipio,BA
Boca da Mata,municipio,AL
Boca do Acre,municipio,AM
Bocaina,municipio,PI
Bocaina,municipio,SP
Bocaina de Minas,municipio,MG
Bocaina do Sul,municipio,SC
Bocaiúva,municipio,MG
Bocaiúva do Sul,municipio,PR
Bodó,municipio,RN
Bodocó,municipio,PE
Bodoquena,municipio,MS
Bofete,municipio,SP
Boituva,municipio,SP
Bom Conselho,municipio,PE
Bom Despacho,municipio,MG
Bom Jardim,municipio,MA
Bom Jardim,municipio,PE
Bom Jardim,municipio,RJ
Bom Jardim da Serra,municipio,SC
Bom Jardim de Goiás,municipio,GO
Bom Jardim de Minas,municipio,MG
Bom Jesus,municipio,PI
Bom Jesus,municipio,RN
Bom Jesus,municipio,PB
Bom Jesus,municipio,SC
Bom Jesus,municipio,RS
Bom Jesus da Lapa,municipio,BA
Bom Jesus da Penha,municipio,MG
Bom Jesus da Serra,municipio,BA
Bom Jesus das Selvas,municipio,MA
Bom Jesus de Goiás,municipio,GO
Bom Jesus do Amparo,municipio,MG
Bom Jesus do Araguaia,municipio,MT
Bom Jesus do Galho,municipio,MG
Bom Jesus do Itabapoana,municipio,RJ
Bom Jesus do Norte,municipio,ES
Bom Jesus do Oeste,municipio,SC
Bom Jesus do Sul,municipio,PR
Bom Jesus do Tocantins,municipio,PA
Bom Jesus do Tocantins,municipio,TO
Bom Jesus dos Perdões,municipio,SP
Bom Lugar,municipio,MA
Bom Princípio,municipio,RS
Bom Princípio do Piauí,municipio,PI
Bom Progresso,municipio,RS
Bom Repouso,municipio,MG
Bom Retiro,municipio,SC
Bom Retiro do Sul,municipio,RS
Bom Sucesso,municipio,PB
Bom Sucesso,municipio,MG
Bom Sucesso,municipio,PR
Bom Sucesso de Itararé,municipio,SP
Bom Sucesso do Sul,municipio,PR
Bombinhas,municipio,SC
Bonfim,municipio,RR
Bonfim,municipio,MG
Bonfim do Piauí,municipio,PI
Bonfinópolis,municipio,GO
Bonfinópolis de Minas,municipio,MG
Boninal,municipio,BA
Bonito,municipio,PA
Bonito,municipio,PE
Bonito,municipio,BA
Bonito,municipio,MS
Bonito de Minas,municipio,MG
Bonito de Santa Fé,municipio,PB
Bonópolis,municipio,GO
Boqueirão,municipio,PB
Boqueirão do Leão,municipio,RS
Boqueirão do Piauí,municipio,PI
Boquim,municipio,SE
Boquira,municipio,BA
Borá,municipio,SP
Boraceia,municipio,SP
Borba,municipio,AM
Borborema,municipio,PB
Borborema,municipio,SP
Borda da Mata,municipio,MG
Borebi,municipio,SP
Borrazópolis,municipio,PR
Bossoroca,municipio,RS
Botelhos,municipio,MG
Botucatu,municipio,SP
Botumirim,municipio,MG
Botuporã,municipio,BA
Botuverá,municipio,SC
Bozano,municipio,RS
Braço do Norte,municipio,SC
Braço do Trombudo,municipio,SC
Braga,municipio,RS
Bragança,municipio,PA
Bragança Paulista,municipio,SP
Braganey,municipio,PR
Branquinha,municipio,AL
Brás Pires,municipio,MG
Brasil Novo,municipio,PA
Brasilândia,municipio,MS
Brasilândia de Minas,municipio,MG
Brasilândia do Sul,municipio,PR
Brasilândia do Tocantins,municipio,TO
Brasileia,municipio,AC
Brasileira,municipio,PI
Brasília,municipio,DF
Brasília de Minas,municipio,MG
Brasnorte,municipio,MT
Braúna,municipio,SP
Braúnas,municipio,MG
Brazabrantes,municipio,GO
Brazópolis,municipio,MG
Brejão,municipio,PE
Brejetuba,municipio,ES
Brejinho,municipio,RN
Brejinho,municipio,PE
Brejinho de Nazaré,municipio,TO
Brejo,municipio,MA
Brejo Alegre,municipio,SP
Brejo da Madre de Deus,municipio,PE
Brejo de Areia,municipio,MA
Brejo do Cruz,municipio,PB
Brejo do Piauí,municipio,PI
Brejo dos Santos,municipio,PB
Brejo Grande,municipio,SE
Brejo Grande do Araguaia,municipio,PA
Brejo Santo,municipio,CE
Brejões,municipio,BA
Brejolândia,municipio,BA
Breu Branco,municipio,PA
Breves,municipio,PA
Britânia,municipio,GO
Brochier,municipio,RS
Brodowski,municipio,SP
Brotas,municipio,SP
Brotas de Macaúbas,municipio,BA
Brumadinho,municipio,MG
Brumado,municipio,BA
Brunópolis,municipio,SC
Brusque,municipio,SC
Bueno Brandão,municipio,MG
Buenópolis,municipio,MG
Buenos Aires,municipio,PE
Buerarema,municipio,BA
Bugre,municipio,MG
Buíque,municipio,PE
Bujari,municipio,AC
Bujaru,municipio,PA
Buri,municipio,SP
Buritama,municipio,SP
Buriti,municipio,MA
Buriti Alegre,municipio,GO
Buriti Bravo,municipio,MA
Buriti de Goiás,municipio,GO
Buriti do Tocantins,municipio,TO
Buriti dos Lopes,municipio,PI
Buriti dos Montes,municipio,PI
Buriticupu,municipio,MA
Buritinópolis,municipio,GO
Buritirama,municipio,BA
Buritirana,municipio,MA
Buritis,municipio,RO
Buritis,municipio,MG
Buritizal,municipio,SP
Buritizeiro,municipio,MG
Butiá,municipio,RS
Caapiranga,municipio,AM
Caaporã,municipio,PB
Caarapó,municipio,MS
Caatiba,municipio,BA
Cabaceiras,municipio,PB
Cabaceiras do Paraguaçu,municipio,BA
Cabeceira Grande,municipio,MG
Cabeceiras,municipio,GO
Cabeceiras do Piauí,municipio,PI
Cabedelo,municipio,PB
Cabixi,municipio,RO
Cabo de Santo Agostinho,municipio,PE
Cabo Frio,municipio,RJ
Cabo Verde,municipio,MG
Cabrália Paulista,municipio,SP
Cabreúva,municipio,SP
Cabrobó,municipio,PE
Caçador,municipio,SC
Caçapava,municipio,SP
Caçapava do Sul,municipio,RS
Cacaulândia,municipio,RO
Cacequi,municipio,RS
Cáceres,municipio,MT
Cachoeira,municipio,BA
Cachoeira Alta,municipio,GO
Cachoeira da Prata,municipio,MG
Cachoeira de Goiás,municipio,GO
Cachoeira de Minas,municipio,MG
Cachoeira de Pajeú,municipio,MG
Cachoeira do Arari,municipio,PA
Cachoeira do Piriá,municipio,PA
Cachoeira do Sul,municipio,RS
Cachoeira dos Índios,municipio,PB
Cachoeira Dourada,municipio,MG
Cachoeira Dourada,municipio,GO
Cachoeira Grande,municipio,MA
Cachoeira Paulista,municipio,SP
Cachoeiras de Macacu,municipio,RJ
Cachoeirinha,municipio,TO
Cachoeirinha,municipio,PE
Cachoeirinha,municipio,RS
Cachoeiro de Itapemirim,municipio,ES
Cacimba de Areia,municipio,PB
Cacimba de Dentro,municipio,PB
Cacimbas,municipio,PB
Cacimbinhas,municipio,AL
Cacique Doble,municipio,RS
Cacoal,municipio,RO
Caconde,municipio,SP
Caçu,municipio,GO
Caculé,municipio,BA
Caém,municipio,BA
Caetanópolis,municipio,MG
Caetanos,municipio,BA
Caeté,municipio,MG
Caetés,municipio,PE
Caetité,municipio,BA
Cafarnaum,municipio,BA
Cafeara,municipio,PR
Cafelândia,municipio,SP
Cafelândia,municipio,PR
Cafezal do Sul,municipio,PR
Caiabu,municipio,SP
Caiana,municipio,MG
Caiapônia,municipio,GO
Caibaté,municipio,RS
Caibi,municipio,SC
Caiçara,municipio,PB
Caiçara,municipio,RS
Caiçara do Norte,municipio,RN
Caiçara do Rio do Vento,municipio,RN
Caicó,municipio,RN
Caieiras,municipio,SP
Cairu,municipio,BA
Caiuá,municipio,SP
Cajamar,municipio,SP
Cajapió,municipio,MA
Cajari,municipio,MA
Cajati,municipio,SP
Cajazeiras,municipio,PB
Cajazeiras do Piauí,municipio,PI
Cajazeirinhas,municipio,PB
Cajobi,municipio,SP
Cajueiro,municipio,AL
Cajueiro da Praia,municipio,PI
Cajuri,municipio,MG
Cajuru,municipio,SP
Calçado,municipio,PE
Calçoene,municipio,AP
Caldas,municipio,MG
Caldas Brandão,municipio,PB
Caldas Novas,municipio,GO
Caldazinha,municipio,GO
Caldeirão Grande,municipio,BA
Caldeirão Grande do Piauí,municipio,PI
Califórnia,municipio,PR
Calmon,municipio,SC
Calumbi,municipio,PE
Camacan,municipio,BA
Camaçari,municipio,BA
Camacho,municipio,MG
